tipo_dados, oversample, penalty, c, max_iter, f1, loss
SUB-IT, true, l2, 0.1, 1, 0.789642375168691, 0.5370677905272274
SUB-IT, true, l2, 0.1, 5, 0.8039456354893122, 0.44248144070594964
SUB-IT, true, l2, 0.1, 15, 0.8255607372862536, 0.4047335631165358
SUB-IT, true, l2, 1.0, 1, 0.789642375168691, 0.5369606597797983
SUB-IT, true, l2, 1.0, 5, 0.8039456354893122, 0.442291817985461
SUB-IT, true, l2, 1.0, 15, 0.8255607372862536, 0.40466863257026287
SUB-IT, true, l2, 10, 1, 0.789642375168691, 0.5369499456010676
SUB-IT, true, l2, 10, 5, 0.8039456354893122, 0.44227291943278496
SUB-IT, true, l2, 10, 15, 0.8255607372862536, 0.404662898578589
SUB-IT, false, l1, 0.01, 1, 0.6927024032772977, 0.7696010629321459
SUB-IT, false, l1, 0.01, 5, 0.6441296692455974, 0.7582367787888848
SUB-IT, false, l1, 0.01, 15, 0.6362278244631185, 0.7626406230058697
SUB-IT, false, l1, 0.1, 1, 0.8148607210605349, 0.6174826192111829
SUB-IT, false, l1, 0.1, 5, 0.858346957597099, 0.47927317958621746
SUB-IT, false, l1, 0.1, 15, 0.8706546854942234, 0.4313947237955753
SUB-IT, false, l1, 1.0, 1, 0.8298481339754696, 0.5987465776399901
SUB-IT, false, l1, 1.0, 5, 0.8625571052110783, 0.4408518896577364
SUB-IT, false, l1, 1.0, 15, 0.861246274405332, 0.3771733057631209
SUB-IT, false, l1, 10, 1, 0.8298481339754696, 0.5968676476274516
SUB-IT, false, l1, 10, 5, 0.8625571052110783, 0.437473829146174
SUB-IT, false, l1, 10, 15, 0.861246274405332, 0.3730348183801207
SUB-IT, false, l2, 0.01, 1, 0.8298481339754696, 0.5990695762573498
SUB-IT, false, l2, 0.01, 5, 0.8625571052110783, 0.44277727418301854
SUB-IT, false, l2, 0.01, 15, 0.861246274405332, 0.3823553331950611
SUB-IT, false, l2, 0.1, 1, 0.8298481339754696, 0.5969014097192658
SUB-IT, false, l2, 0.1, 5, 0.8625571052110783, 0.43767372199003396
SUB-IT, false, l2, 0.1, 15, 0.861246274405332, 0.3735811350969455
SUB-IT, false, l2, 1.0, 1, 0.8298481339754696, 0.5966835059007796
SUB-IT, false, l2, 1.0, 5, 0.8625571052110783, 0.43716226113991313
SUB-IT, false, l2, 1.0, 15, 0.861246274405332, 0.3727282334163797
SUB-IT, false, l2, 10, 1, 0.8298481339754696, 0.5966617045544941
SUB-IT, false, l2, 10, 5, 0.8625571052110783, 0.4371111052559996
SUB-IT, false, l2, 10, 15, 0.861246274405332, 0.372643235056569
